pA0,pA0_events,pA1,pA1_events,pA2,pA2_events,A0,A1,A2,pB0,pB0_events,pB1,pB1_events,pB2,pB2_events,B0,B1,B2,num_events,luid,lgid,label_A0,caption_A0,label_A1,caption_A1,label_A2,caption_A2,label_B0,caption_B0,label_B1,caption_B1,label_B2,caption_B2,currency_symbol,A_don,B_don,A_top,B_top
0.00,0,1.00,100,0.00,0,0,120,420,0.00,0,0.50,50,0.50,50,0,120,210,100,rdon11,1,,,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,2,,Double or nothing if number is 51 to 100
0.00,0,0.75,75,0.25,25,0,210,420,0.00,0,0.50,50,0.50,50,0,210,420,100,rdon12,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,1,,Double or nothing if number is 1 to 50
0.25,25,0.75,75,0.00,0,0,60,210,0.50,50,0.50,50,0.00,0,0,105,210,100,rdon13,1,25 in 100,number is 1 to 25,75 in 100,number is 26 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,1,,Double or nothing if number is 51 to 100
0.00,0,0.75,75,0.25,25,0,120,210,0.00,0,0.50,50,0.50,50,0,105,210,100,rdon14,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,1,,Double or nothing if number is 1 to 50
0.00,0,0.75,75,0.25,25,0,120,420,0.00,0,0.50,50,0.50,50,0,210,420,100,rdon15,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,1,,Double or nothing if number is 1 to 50
0.50,50,0.50,50,0.00,0,0,60,120,0.75,75,0.00,0,0.25,25,0,60,120,100,rae1,1,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,75 in 100,number is 1 to 75,,,25 in 100,number is 76 to 100,R,-1,-1,,
0.00,0,1.00,100,0.00,0,0,60,120,0.75,75,0.00,0,0.25,25,0,60,120,100,rae2,1,,,100 in 100,number is 1 to 100,,,75 in 100,number is 1 to 75,,,25 in 100,number is 76 to 100,R,-1,-1,,
0.00,0,1.00,100,0.00,0,0,60,210,0.50,50,0.25,25,0.25,25,0,60,210,100,rae3,1,,,100 in 100,number is 1 to 100,,,50 in 100,number is 1 to 50,25 in 100,number is 51 to 75,25 in 100,number is 76 to 100,R,-1,-1,,
0.25,25,0.75,75,0.00,0,0,60,420,0.50,50,0.00,0,0.50,50,0,60,420,100,rae4,1,25 in 100,number is 1 to 25,75 in 100,number is 26 to 100,,,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,R,-1,-1,,
0.00,0,1.00,100,0.00,0,0,60,420,0.50,50,0.00,0,0.50,50,0,60,420,100,rae5,1,,,100 in 100,number is 1 to 100,,,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,R,-1,-1,,
0.00,0,1.00,100,0.00,0,0,120,210,0.25,25,0.25,25,0.50,50,0,120,210,100,rae6,1,,,100 in 100,number is 1 to 100,,,25 in 100,number is 1 to 25,25 in 100,number is 26 to 50,50 in 100,number is 51 to 100,R,-1,-1,,
0.00,0,0.50,50,0.50,50,0,120,420,0.25,25,0.00,0,0.75,75,0,120,420,100,rae7,1,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,R,-1,-1,,
0.00,0,1.00,100,0.00,0,0,210,420,0.25,25,0.00,0,0.75,75,0,210,420,100,rae8,1,,,100 in 100,number is 1 to 100,,,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,R,-1,-1,,
0.25,25,0.50,50,0.25,25,0,120,420,0.50,50,0.00,0,0.50,50,0,120,420,100,rae9,1,25 in 100,number is 1 to 25,50 in 100,number is 26 to 75,25 in 100,number is 76 to 100,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,R,-1,-1,,
0.00,0,0.75,75,0.25,25,0,210,420,0.50,50,0.00,0,0.50,50,0,210,420,100,rae10,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,R,-1,-1,,
0.00,0,1.00,100,0.00,0,0,120,420,0.25,25,0.50,50,0.25,25,0,120,420,100,rae11,1,,,100 in 100,number is 1 to 100,,,25 in 100,number is 1 to 25,50 in 100,number is 26 to 75,25 in 100,number is 76 to 100,R,-1,-1,,
0.00,0,0.75,75,0.25,25,0,210,420,0.25,25,0.00,0,0.75,75,0,210,420,100,rae12,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,R,-1,-1,,
0.25,25,0.75,75,0.00,0,0,60,210,0.75,75,0.00,0,0.25,25,0,60,210,100,rae13,1,25 in 100,number is 1 to 25,75 in 100,number is 26 to 100,,,75 in 100,number is 1 to 75,,,25 in 100,number is 76 to 100,R,-1,-1,,
0.00,0,0.75,75,0.25,25,0,120,210,0.25,25,0.00,0,0.75,75,0,120,210,100,rae14,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,R,-1,-1,,
0.00,0,0.75,75,0.25,25,0,120,420,0.25,25,0.00,0,0.75,75,0,120,420,100,rae15,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,R,-1,-1,,
0.55,55,0.25,25,0.20,20,30,320,380,0.55,55,0.25,25,0.20,20,30,240,490,100,rWEW1,1,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,R,-1,-1,,
0.55,55,0.25,25,0.20,20,190,320,380,0.55,55,0.25,25,0.20,20,190,240,490,100,rWEW2,1,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,R,-1,-1,,
0.55,55,0.25,25,0.20,20,350,320,380,0.55,55,0.25,25,0.20,20,350,240,490,100,rWEW3,1,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,R,-1,-1,,
0.55,55,0.25,25,0.20,20,510,320,380,0.55,55,0.25,25,0.20,20,510,240,490,100,rWEW4,1,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,R,-1,-1,,
0.65,65,0.20,20,0.15,15,30,190,300,0.65,65,0.20,20,0.15,15,30,160,320,100,rWEW5,1,65 in 100,number is 1 to 65,20 in 100,number is 66 to 85,15 in 100,number is 86 to 100,65 in 100,number is 1 to 65,20 in 100,number is 66 to 85,15 in 100,number is 86 to 100,R,-1,-1,,
0.65,65,0.20,20,0.15,15,140,190,300,0.65,65,0.20,20,0.15,15,140,160,320,100,rWEW6,1,65 in 100,number is 1 to 65,20 in 100,number is 66 to 85,15 in 100,number is 86 to 100,65 in 100,number is 1 to 65,20 in 100,number is 66 to 85,15 in 100,number is 86 to 100,R,-1,-1,,
