pA0,pA0_events,pA1,pA1_events,pA2,pA2_events,A0,A1,A2,pB0,pB0_events,pB1,pB1_events,pB2,pB2_events,B0,B1,B2,num_events,luid,lgid,label_A0,caption_A0,label_A1,caption_A1,label_A2,caption_A2,label_B0,caption_B0,label_B1,caption_B1,label_B2,caption_B2,currency_symbol,A_don,B_don,A_top,B_top
0.5,50,0.5,50,0,0,0,6,12,0.75,75,0,0,0.25,25,0,6,12,100,rae1,1,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,75 in 100,number is 1 to 75,,,25 in 100,number is 76 to 100,$,-1,-1,,
0,0,1,100,0,0,0,6,12,0.75,75,0,0,0.25,25,0,6,12,100,rae2,1,,,100 in 100,number is 1 to 100,,,75 in 100,number is 1 to 75,,,25 in 100,number is 76 to 100,$,-1,-1,,
0,0,1,100,0,0,0,6,21,0.5,50,0.25,25,0.25,25,0,6,21,100,rae3,1,,,100 in 100,number is 1 to 100,,,50 in 100,number is 1 to 50,25 in 100,number is 51 to 75,25 in 100,number is 76 to 100,$,-1,-1,,
0.25,25,0.75,75,0,0,0,6,42,0.5,50,0,0,0.5,50,0,6,42,100,rae4,1,25 in 100,number is 1 to 25,75 in 100,number is 26 to 100,,,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,$,-1,-1,,
0,0,1,100,0,0,0,6,42,0.5,50,0,0,0.5,50,0,6,42,100,rae5,1,,,100 in 100,number is 1 to 100,,,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,$,-1,-1,,
0,0,1,100,0,0,0,12,21,0.25,25,0.25,25,0.5,50,0,12,21,100,rae6,1,,,100 in 100,number is 1 to 100,,,25 in 100,number is 1 to 25,25 in 100,number is 26 to 50,50 in 100,number is 51 to 100,$,-1,-1,,
0,0,0.5,50,0.5,50,0,12,42,0.25,25,0,0,0.75,75,0,12,42,100,rae7,1,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,$,-1,-1,,
0,0,1,100,0,0,0,21,42,0.25,25,0,0,0.75,75,0,21,42,100,rae8,1,,,100 in 100,number is 1 to 100,,,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,$,-1,-1,,
0.25,25,0.5,50,0.25,25,0,12,42,0.5,50,0,0,0.5,50,0,12,42,100,rae9,1,25 in 100,number is 1 to 25,50 in 100,number is 26 to 75,25 in 100,number is 76 to 100,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,$,-1,-1,,
0,0,0.75,75,0.25,25,0,21,42,0.5,50,0,0,0.5,50,0,21,42,100,rae10,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,$,-1,-1,,
0,0,1,100,0,0,0,12,42,0.25,25,0.5,50,0.25,25,0,12,42,100,rae11,1,,,100 in 100,number is 1 to 100,,,25 in 100,number is 1 to 25,50 in 100,number is 26 to 75,25 in 100,number is 76 to 100,$,-1,-1,,
0,0,0.75,75,0.25,25,0,21,42,0.25,25,0,0,0.75,75,0,21,42,100,rae12,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,$,-1,-1,,
0.25,25,0.75,75,0,0,0,6,21,0.75,75,0,0,0.25,25,0,6,21,100,rae13,1,25 in 100,number is 1 to 25,75 in 100,number is 26 to 100,,,75 in 100,number is 1 to 75,,,25 in 100,number is 76 to 100,$,-1,-1,,
0,0,0.75,75,0.25,25,0,12,21,0.25,25,0,0,0.75,75,0,12,21,100,rae14,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,$,-1,-1,,
0,0,0.75,75,0.25,25,0,12,42,0.25,25,0,0,0.75,75,0,12,42,100,rae15,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,$,-1,-1,,
0.55000001,55,0.25,25,0.2,20,3,32,38,0.55000001,55,0.25,25,0.2,20,3,24,49,100,rWEW1,1,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,$,-1,-1,,
0.55000001,55,0.25,25,0.2,20,19,32,38,0.55000001,55,0.25,25,0.2,20,19,24,49,100,rWEW2,1,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,55 in 100,number is 1 to 55,25 in 100,number is 56 to 80,20 in 100,number is 81 to 100,$,-1,-1,,
